Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
277,0,0,191,0,968,856,28,25.96566616
359,19,141,154,10.91,942,801,3,25.11662572
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
366,187,0,191,7,824,757,28,65.90701084
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
190.34,0,125.18,166.61,9.88,1079,798.9,56,31.715896
236,0,0,194,0,968,885,28,18.41590396
387,20,94,157,14.32,938,845,7,36.83870268
500,0,0,200,0,1125,613,1,12.63809508
287,121,94,188,9,904,696,28,41.94082508
249.1,0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
339,0,0,197,0,968,781,90,35.17017076
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
446,24,79,162,11.64,967,712,56,55.25460664
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
166.8,250.2,0,203.5,0,975.6,692.6,7,15.74832132
141.3,212,0,203.5,0,971.8,748.5,7,10.3938507
310,143,0,168,10,914,804,28,45.2985732
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
339,0,0,185,0,1069,754,7,21.16001844
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402356
288,192,0,192,0,932,717.8,3,16.10960674
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
380,95,0,228,0,932,594,180,40.75906322
480,0,0,192,0,936.2,712.2,7,34.56963716
305.3,203.5,0,203.5,0,965.4,631,7,25.89396066
296,0,0,192,0,1085,765,90,29.39236188
475,0,0,228,0,932,594,180,42.62064842
446,24,79,162,10.3,967,712,56,54.76507868
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
108.3,162.4,0,203.5,0,938.2,849,7,7.723510152
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43165204
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46103971
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.0201848
160,188,146,203,11,829,710,28,32.83974188
192,288,0,192,0,929.8,716.1,28,39.32150576
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.76803638
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29092896
304,76,0,228,0,932,670,270,54.37828264
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778
295,0,0,185,0,1069,769,28,25.17966352
359,19,141,154,10.91,942,801,56,68.75060685
157,236,0,192,0,935.4,781.2,3,9.694722036
331,0,0,192,0,978,825,90,37.231704
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80085148
382,0,0,186,0,1047,739,28,37.42475728
158,0,195,220,11,898,713,28,8.53571288
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
427.5,47.5,0,228,0,932,594,270,43.01296026
250,0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
325,0,0,184,0,1063,783,28,30.57136584
102,153,0,192,0,887,942,28,17.27551066
480,0,0,192,0,936,721,3,24.39366088
236,157,0,192,0,972.6,749.1,3,13.5654403
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
193.5,290.2,0,185.7,0,998.2,704.3,7,17.20035777
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72046253
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44363293
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03393426
446,24,79,162,11.64,967,712,7,38.01770664
475,118.8,0,181.1,8.9,852.1,781.5,28,68.29949256
350,0,0,203,0,974,775,7,18.12632404
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
139.6,209.4,0,192,0,1047,806.9,90,39.35804798
310,142.8,0,167.9,10,914.3,804,28,45.30477848
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42235907
446,24,79,162,11.61,967,712,56,61.06688932
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.01600788
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,17.36790044
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37264682
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.20386516
139.6,209.4,0,192,0,1047,806.9,180,44.20782217
164,0,200,181,13,849,846,28,15.08573488
485,0,0,146,0,1120,800,28,71.98818916
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.58737372
314,0,113,170,10,925,783,28,38.45897128
273,0,90,199,11,931,762,28,32.23989776
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.8358748
310,0,0,192,0,1012,830,3,11.85209244
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084
140,164,128,237,6,869,656,28,35.22532884
277,116.8,91,190.6,7,946.5,665.6,28,43.57833058
155,183,0,193,9,877,868,28,23.786922
375,93.8,0,126.6,23.4,852.1,992.6,3,28.99936056
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.507014688
212,0,124.78,159,7.84,1085.4,799.54,14,31.35047372
505,0,60,195,0,1030,630,28,64.0178466
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.99702236
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.26548832
322.5,148.6,0,185.8,8.5,951,709.5,28,52.42637609
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
500,0,0,200,0,1125,613,28,44.0919902
313.3,0,113,178.5,8,1001.9,688.7,28,36.80491836
222.36,0,96.67,189.29,4.46,967.08,870.32,14,24.44881896
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
339,0,0,197,0,968,781,14,27.04124872
212,141.3,0,203.5,0,973.4,750,3,6.8085755
446,24,79,162,10.3,967,712,28,53.38612668
400,0,0,187,0,1025,745,28,43.69898888
266,114,0,228,0,932,670,270,51.73276323
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
159,149,116,175,15,953,720,28,27.67556664
310,0,0,192,0,970,850,7,14.98920824
212,141.3,0,203.5,0,973.4,750,90,39.70002808
331,0,0,192,0,1025,821,3,14.306627
147,115,89,202,9,860,829,28,19.98790924
385,0,0,186,0,966,763,1,6.26733684
310,0,0,192,0,1012,830,120,38.70028788
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
155,183,0,193,9,1047,697,28,18.28490352
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
475,0,0,228,0,932,594,270,42.13112046
349,0,0,192,0,1047,806,90,39.48629052
218.85,0,124.13,158.49,11.33,1078.7,794.91,14,26.04840328
198.6,132.4,0,192,0,978.4,825.5,3,9.131420144
194.68,0,100.52,170.17,7.48,998,901.8,14,24.28334472
400,0,0,187,0,1025,745,7,30.14389072
144,15,195,176,6,1021,709,28,15.340841
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.20208645
424,22,132,178,8.48,822,750,28,62.05284
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.3675208
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
349,0,0,192,0,1047,806.9,3,15.04919265
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
149,118,92,183,7,953,780,28,23.51802636
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.44637089
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971024
143,169,143,191,8,967,643,28,29.72331036
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
254,0,0,198,0,968,863,180,27.62730332
540,0,0,162,2.5,1040,676,28,79.98611076
152.7,144.7,0,178.1,8,999.7,822.2,28,19.0095428
296,0,0,192,0,1085,765,28,21.6495464
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.0556978
139.6,209.4,0,192,0,1047,806.9,360,44.6980396
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
339,0,0,197,0,968,781,365,38.89334116
339.2,0,0,185.7,0,1069.2,754.3,28,31.89998609
288,192,0,192,0,932,717.8,28,38.80439876
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
540,0,0,173,0,1125,613,3,41.63745564
331,0,0,192,0,978,825,360,41.24445432
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89478012
500,0,0,200,0,1125,613,3,26.0621928
307,0,0,193,0,968,812,3,12.54156844
480,0,0,192,0,936.2,712.2,28,43.94237391
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77327244
153,145,113,178,8,867,824,28,26.22766704
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35014394
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.617500724
238.05,0,94.11,186.66,7,949.91,847.01,56,39.58971192
239.6,359.4,0,185.7,0,941.6,664.3,28,39.4352693
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
132,207,161,179,5,867,736,28,33.3016908
337.9,189,0,174.9,9.5,944.7,755.8,3,24.0971862
362.6,189,0,164.9,11.6,944.7,755.8,7,22.89749796
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69109481
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.30651713
469,117.2,0,137.8,32.2,852.1,840.5,3,40.1964508
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09125069
387,20,94,157,11.61,938,845,7,41.66503468
318,0,126,210,6,861,737,28,40.0585556
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
350,0,0,203,0,974,775,180,32.72253096
385,0,136,158,20,903,768,28,55.55108132
304,76,0,228,0,932,670,180,50.94882902
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534036
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226
500.1,0,0,200,3,1124.4,613.2,28,44.13335876
331,170,0,195,8,811,802,28,56.61287436
342,38,0,228,0,932,670,90,50.45930106
439,177,0,186,11.1,884.9,707.9,3,39.300132
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698
190,190,0,228,0,932,670,28,40.85696881
133,200,0,192,0,927.4,839.2,90,36.58842289
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.3498642
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.39959639
374,189.2,0,170.1,10.1,926.1,756.7,56,63.3973182
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48744956
359,19,141,154,10.91,942,801,56,66.78067543
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.24541357
525,0,0,189,0,1125,613,14,48.4012152
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
540,0,0,173,0,1125,613,90,69.65776028
167,75.4,167,164.03,7.91,1007.3,770.1,100,56.8128224
192,288,0,192,0,929.8,716.1,90,50.73233356
520,0,0,170,5.2,855,855,28,60.28088668
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42147978
336.5,0,0,181.9,3.4,985.8,816.8,28,44.86834018
304,76,0,228,0,932,670,28,47.81378165
376,0,0,214.6,0,1003.5,762.36,14,25.62092816
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.09966436
252.5,0,0,185.7,0,1111.6,784.3,7,11.48391226
166.8,250.2,0,203.5,0,975.6,692.6,90,43.56523054
252,0,0,185,0,1111,784,7,13.71367764
298,0,107,164,13,953,784,28,35.85964676
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
339,0,0,197,0,968,781,3,13.22414968
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
237,92,71,247,6,853,695,28,28.62704352
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
238,0,0,185,0,1118,789,28,17.54026944
446,24,79,162,11.64,967,712,28,44.42293868
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.21973308
427.5,47.5,0,228,0,932,594,7,35.07640202
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852752
133,200,0,192,0,927.4,839.2,7,13.66403537
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23419213
307,0,0,193,0,968,812,365,36.14922668
288.4,121,0,177.4,7,907.9,829.5,28,42.14008364
198.6,132.4,0,192,0,978.4,825.5,28,28.02168359
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
331,0,0,192,0,978,825,28,31.44700036
281,0,0,186,0,1104,774,7,14.49968028
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.19944856
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.20920112
325.6,166.4,0,174,8.9,881.6,790,28,61.23581094
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.52010476
166.8,250.2,0,203.5,0,975.6,692.6,3,6.902344236
322,0,0,203,0,974,800,28,25.17966352
385,0,0,186,0,966,763,28,31.35047372
150,237,0,174,12,1069,675,28,37.43165204
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576
350,0,0,203,0,974,775,90,31.35047372
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.09954452
108.3,162.4,0,203.5,0,938.2,849,3,2.331807832
366,187,0,191.3,6.6,824.3,756.9,28,65.90907927
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
266,114,0,228,0,932,670,365,52.90831981
393,0,0,192,0,940.6,785.6,90,48.8466167
288,121,0,177,7,908,829,28,42.13387836
277,0,0,191,0,968,856,3,11.36256448
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.60128308
491,26,123,210,3.93,882,699,7,33.48883428
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.50398701
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96384756
300,0,0,184,0,1075,795,7,15.57526284
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12320644
350,0,0,186,0,1050,770,28,34.29453624
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
238,0,0,186,0,1119,789,7,12.05204048
284,15,141,179,5.46,842,801,7,24.13166
382.5,0,0,185.7,0,1047.8,739.3,28,37.43785732
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
531.3,0,0,141.8,28.2,852.1,893.7,7,46.89815752
310,0,0,192,0,971,850.6,3,9.86640156
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91369566
116,173,0,192,0,909.8,891.9,3,6.280436884
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
250,0,95.69,191.84,5.33,948.9,857.2,100,41.1617172
133,200,0,192,0,927.4,839.2,3,6.883728384
350,0,0,203,0,974,775,28,27.3377234
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
298.1,0,107.5,163.6,12.8,953.2,784,28,35.86585204
349,0,0,192,0,1056,809,3,15.87173752
220.8,147.2,0,185.7,0,1055,744.3,28,25.74503384
302,0,0,203,0,974,817,180,26.74477404
540,0,0,173,0,1125,613,180,71.62276688
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.07676172
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
236,0,0,194,0,968,885,3,6.46728488
151,0,184,167,12,991,772,28,15.56836808
475,0,0,228,0,932,594,7,38.60376124
139.6,209.4,0,192,0,1047,806.9,7,14.58931216
202,11,141,206,1.72,942,801,3,9.849657146
237.5,237.5,0,228,0,932,594,180,36.2519586
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
525,0,0,189,0,1125,613,90,58.78472376
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
350,0,0,203,0,974,775,14,22.53207568
500,0,0,200,0,1125,613,270,55.15808
382,0,0,186,0,1047,739,7,24.00065956
480,0,0,192,0,936,721,28,43.89204216
405,0,0,175,0,1120,695,28,52.30364936
237.5,237.5,0,228,0,932,594,90,33.11691123
250,0,0,182,0,1100,820,7,12.73462172
228,342.1,0,185.7,0,955.8,674.3,7,21.91706309
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.42046052
359,19,141,154,10.91,942,801,28,62.93536928
285,190,0,163,7.6,1031,685,28,53.57917996
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,59.30183076
475,0,0,228,0,932,594,28,39.28978986
288,192,0,192,0,932,717.8,90,50.52686971
304,76,0,228,0,932,670,365,55.26012245
525,0,0,189,0,1125,613,3,33.79811352
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
252,0,0,186,0,1111,784,7,11.46598588
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.4195912
202,11,141,206,1.72,942,801,7,15.06997543
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776
525,0,0,189,0,1125,613,7,42.42345828
333,17.5,163,167,17.9,996,652,28,47.27736932
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54230795
310,0,0,192,0,970,850,360,38.11423328
183.9,122.6,0,203.5,0,959.2,800,3,4.903553312
393,0,0,192,0,940.6,785.6,7,27.74244581
424,22,132,178,8.48,822,750,7,39.00464228
469,117.2,0,137.8,32.2,852.1,840.5,28,66.89985628
376,0,0,214.6,0,1003.5,762.36,100,43.0577762
475,0,0,228,0,932,594,90,42.22902605
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.72641799
145.4,0,178.9,201.7,7.8,824,868.7,28,10.53588276
374,189.2,0,170.1,10.1,926.1,756.7,91,64.90037588
332.5,142.5,0,228,0,932,594,7,30.27558064
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717028
198.6,132.4,0,192,0,978.4,825.5,360,44.2960751
200,133,0,192,0,965.4,806.2,7,17.16588397
116,173,0,192,0,909.8,891.9,7,10.08979178
331,0,0,192,0,978,825,7,16.26473884
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.41564416
321,0,128,182,11,870,780,28,37.25928304
228,342.1,0,185.7,0,955.8,674.3,28,39.6993386
491,26,123,201,3.93,822,699,56,61.85584685
296,0,106.7,221.4,10.5,819.2,778.4,28,31.4201108
234,156,0,189,5.85,981,760,28,39.300132
184,86,190,213,6,923,623,28,22.93197176
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,51.4349096
276,116,90,180,9,870,768,28,44.27814872
183.9,122.6,0,203.5,0,959.2,800,28,24.04616498
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,66.42411784
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.19984832
516,0,0,162,8.26,801,802,28,41.36856
491,26,123,210,3.93,882,699,3,25.60910857
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.2293658
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.71837416
237.5,237.5,0,228,0,932,594,365,38.99538361
331,0,0,192,0,879,825,3,13.52062436
284,15,141,179,5.46,842,801,56,44.52045028
173,116,0,192,0,946.8,856.8,3,6.940954892
146,230,0,202,3,827,872,28,33.0603742
135,105,193,196,6,965,643,28,21.91154728
250.2,166.8,0,203.5,0,977.6,694.1,3,9.731264264
225,0,0,181,0,1113,833,7,11.1695112
277,0,0,191,0,968,856,90,31.25394708
296,0,0,192,0,1085,765,7,14.2032056
108.3,162.4,0,203.5,0,938.2,849,90,29.23171397
236,0,0,194,0,968,885,90,21.94602108
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868
313,145,0,127,8,1000,822,28,44.51946532
284,15,141,179,5.46,842,801,28,43.73346268
376,0,0,214.6,0,1003.5,762.36,56,36.3009114
355,19,97,145,12.25,967,871,28,55.45455468
146,173,0,182,3,986,817,28,23.73865868
252,97,76,194,8,835,821,28,33.39821744
157,236,0,192,0,935.4,781.2,90,43.37700359
375,93.8,0,126.6,23.4,852.1,992.6,7,45.69846928
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.4994406
289,0,0,192,0,913.2,895.3,7,14.5968964
500,0,0,140,4,966,853,28,67.568648
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.56876784
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.6118551
304,140,0,214,6,895,722,28,33.41890172
202,11,141,206,1.72,942,801,56,23.24519085
393,0,0,192,0,940,758,90,48.79421652
387,20,94,157,14.32,938,845,3,22.752708
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.13257936
333,0,0,192,0,931.2,842.6,90,41.68020315
250,180,95,159,9.45,860,800,28,67.86512268
295.8,0,0,185.7,0,1091.4,769.3,28,25.21689522
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
475,118.8,0,181.1,8.9,852.1,781.5,7,55.59934464
266,112,87,178,10,910,745,28,39.41734292
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899
424,22,132,178,8.48,822,750,56,65.69721315
325,0,0,184,0,1063,783,7,17.54026944
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.9561734
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.76520849
385,0,0,186,0,966,763,3,14.69962832
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42357812
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.8229546
380,95,0,228,0,932,594,90,40.56325203
469,117.2,0,137.8,32.2,852.1,840.5,91,70.69886904
